model,mode,shots,langextract,old_P,old_R,new_P,new_P_lo,new_P_hi,new_R,new_R_lo,new_R_hi,new_F1,new_F1_lo,new_F1_hi,gold0_spec,gold0_spec_lo,gold0_spec_hi,dist
deepseekv31,nothink,2,True,0.55,0.79,0.5064,0.4731,0.5446,0.5208,0.4895,0.5494,0.4344,0.4098,0.4625,0.273,0.153,0.415,0.3129
deepseekv31,nothink,4,True,0.5,0.82,0.4716,0.4456,0.502,0.56,0.5383,0.581,0.4313,0.4084,0.4532,0.091,0.0,0.188,0.2884
deepseekv31,nothink,8,True,0.58,0.71,0.6258,0.5975,0.6567,0.5066,0.479,0.5292,0.4924,0.4692,0.5165,0.386,0.244,0.523,0.2492
deepseekv31,nothink,8,False,0.47,0.81,0.4692,0.4404,0.4992,0.8138,0.7788,0.8446,0.5338,0.5051,0.5617,0.0,0.0,0.0,0.0046
deepseekv31,nothink,16,True,0.58,0.71,0.6481,0.6198,0.6804,0.5005,0.4767,0.5225,0.4995,0.4777,0.5275,0.455,0.312,0.62,0.2776
deepseekv31,nothink,32,True,0.58,0.5,0.6519,0.6165,0.6801,0.4725,0.444,0.4936,0.48,0.4567,0.5076,0.455,0.312,0.591,0.0994
qwen3-235b,nothink,2,True,0.48,0.86,0.5203,0.4933,0.5498,0.9027,0.8793,0.9265,0.599,0.5751,0.629,0.068,0.016,0.159,0.0831
qwen3-235b,nothink,4,True,0.45,0.88,0.4106,0.3855,0.4369,0.8986,0.8785,0.9253,0.5105,0.4859,0.5391,0.023,0.0,0.091,0.0581
qwen3-235b,nothink,8,True,0.45,0.85,0.5632,0.5368,0.5939,0.8965,0.8777,0.9132,0.6351,0.6095,0.6642,0.227,0.114,0.347,0.1598
qwen3-235b,nothink,16,True,0.43,0.86,0.6003,0.5745,0.6311,0.8933,0.8746,0.9102,0.6568,0.6308,0.6863,0.114,0.023,0.211,0.2037
qwen3-235b,nothink,32,True,0.52,0.88,0.615,0.5859,0.6492,0.8559,0.834,0.8777,0.6535,0.6242,0.6893,0.159,0.045,0.256,0.1191
qwen3-235b,think,2,True,0.53,0.9,0.47,0.4414,0.5043,0.8655,0.8352,0.8887,0.5534,0.5237,0.5864,0.045,0.0,0.114,0.0944
qwen3-235b,think,4,True,0.42,0.89,0.4398,0.4127,0.469,0.8797,0.8555,0.9034,0.5291,0.5008,0.558,0.0,0.0,0.0,0.03
qwen3-235b,think,8,True,0.57,0.89,0.4531,0.4221,0.4846,0.8579,0.825,0.892,0.5383,0.5068,0.5696,0.091,0.023,0.182,0.1491
qwen3-235b,think,16,True,0.6,0.89,0.4306,0.4049,0.4623,0.8632,0.8312,0.8954,0.5206,0.4947,0.5535,0.091,0.0,0.165,0.1962
qwen3-235b,think,32,True,0.6,0.84,0.4267,0.3801,0.4631,0.8472,0.8053,0.8831,0.5095,0.4617,0.5466,0.237,0.132,0.402,0.1805
